"","Q","text","tokens","uncivil_dictionary","n_raters","n_uncivil","uncivil_perceptions","uncivil_coded"
"83","Q173","1，藍消防你點拍手照屌2，金鍾果次其實係手足拉閘拉到手都傷哂救人先至冇重演831，d消防佬黎執雞咋你估佢地敢爆門?係會救人既831就唔會呆企","藍 消防 你 點 拍手 照 屌 金 鍾 果 次 其實 係 手足 拉閘 拉 到手 都 傷 哂 救人 先至 冇 重演 消防 佬 黎 執雞 咋 你 估 佢地 敢 爆門 係會 救人 既 就 唔會 呆企",1,16,12,0.75,1
"84","Q174","將之前廉署的那人拉下馬還有李寶蘭條仆街做得好!泛民反對派根本無力反擊李寶蘭一刀殺他們除了鳩叫幾句, 還有什麼做出來?從來最重要是結果!","將 之前 廉署 的 那人 拉 下馬 還有 李 寶 蘭 條 仆街 做得好 泛民 反對派 根本 無力 反擊 李 寶 蘭 一刀 殺 他們 除了 鳩叫 幾句 還有 什麼 做出來 從來 最重要 是 結果",1,9,5,0.555555555555556,1
"85","Q175","屋企個深藍廢老左諗右諗唔知投邊個?無問題保皇黨 我全都要 ！一次Cup晒三個 咪唔洗諗囉","屋企 個 深藍 廢 老左 諗 右 諗 唔知 投 邊個 無問題 保皇黨 我 全 都要 一次 晒 三 個 咪 唔洗諗 囉",1,20,17,0.85,1
"86","Q176","母親生賤種，你知唔知香港島個個禮拜都塞車。你咁睇唔開，咪個個星期出post吊九D遊行人仕囉","母 親生 賤種 你 知唔知 香港島 個個 禮拜 都 塞車 你 咁 睇唔開 咪 個個 星期 出 吊 九 遊行 人仕 囉",1,14,7,0.5,1
"87","Q177","其實好撚正常 臭港又逼又太多一堆唔關事既人 (I.e. 大劣人、特權階級人種、難民咖喱腸洋腸黑鬼腸、各式其式不撚正常人類），所以大部份人既信念同埋理想都係臭港死減減少一半人口","其實 好撚 正常 臭港 又 逼 又 太多 一堆 唔關事 既 人 大 劣 人 特權 階級 人種 難民 咖喱 腸 洋腸 黑鬼 腸 各式 其 式 不 撚 正常 人類 所以 大 部份人 既 信念 同埋 理想 都係 臭港 死 減 減少 一半 人口",1,22,11,0.5,1
"88","Q178","10點開始射，射到12點都拉得77、88機場套冷機設計係有預恐襲再搵人即洗都得聽日8點重開都冇問題，專制政府有優點就係執行力極高","點 開始 射 射到 點都 拉得 機場 套 冷 機 設計 係有 預 恐襲 再 搵人 即 洗 都得 聽日 點 重開 都冇問題 專制 政府 有 優點 就係 執行力 極高",0,15,6,0.4,0
"89","Q179","講D啱左癌聽既說話＋少少錢就令到班左癌自我扭曲價值觀化身權貴既狗四週圍咬人","講 啱 左 癌 聽 既 說話 少少錢 就 令到 班 左 癌 自我 扭曲 價值觀 化身 權貴 既 狗 四 週圍 咬人",1,18,10,0.555555555555556,1
"90","Q18","仲有,唔好搵發過夢既前線上去唔係之後比人跟到最多強調入面已經有一部分前線既意見","仲有 唔好搵 發過 夢 既 前線 上去 唔係 之後 比人 跟 到 最多 強調 入面 已經 有 一部分 前線 既 意見",0,14,2,0.142857142857143,0
"91","Q180","其實政府 對呢d都冇野管到就好似d廢老投訴完 都唔會有部門做野","其實 政府 對 呢 都 冇野 管 到 就 好似 廢老 投訴 完 都 唔 會有 部門 做野",1,17,6,0.352941176470588,1
"92","Q181","曱曱 ●曱 甴曱 甴曱 甴曱 甴●習曱甴 習曱平 曱甴平 甴曱平 甴近平曱甴近平","曱 曱 曱 甴曱 甴曱 甴曱 甴 習 曱甴 習 曱 平 曱甴 平 甴曱 平 甴 近 平 曱甴 近 平",1,16,6,0.375,1
"93","Q182","如果你的祖宗是中國人，我以你為恥﹗你這大漢奸，日本鬼子的走狗﹗快D去讀讀中國近代史才出來吠好無？﹗:","如果 你 的 祖宗 是 中國人 我 以 你 為恥 你 這 大 漢奸 日本鬼子 的 走狗 快 去 讀 讀 中國 近代史 才 出來 吠 好無",1,16,7,0.4375,1
"94","Q183","有咁好文彩，文憑試就唔會得個E啦睇我呢度，你就知政棍點解咁扑街：","有咁 好文彩 文憑試 就 唔會 得個 啦 睇 我 呢度 你 就知 政棍 點解 咁 扑街",1,21,11,0.523809523809524,1
"95","Q184","都好想炒黃屍，但我果道黃屍高學歷做得野，藍絲低學歷做野普遍麻麻 無計:","都 好想 炒 黃屍 但 我 果 道 黃屍 高學歷 做得野 藍絲 低 學歷 做野 普遍 麻麻 無計",1,19,8,0.421052631578947,1
"96","Q185","狗官自己加薪，殘民以自肥！美國總統人工都唔夠班局長咁高！習總的人工，係佢哋眼中，等同一條廢老的收入！","狗官 自己 加薪 殘 民 以 自 肥 美國 總統 人工 都 唔夠班 局長 咁高 習總 的 人工 係 佢哋 眼中 等 同一條 廢老 的 收入",1,14,8,0.571428571428571,1
"97","Q186","咁既環境 行山某程度上係無公德好多忽然行山撚會一大班去行行既途中除晒罩有傾有講汗水口水周圍飛點知自己或者對方係咪已感染但無病徵返去傳染身邊既人身邊既人又再傳染俾其他人","咁既 環境 行山 某 程度上 係 無公德 好多 忽然 行山 撚 會 一大班 去行行 既 途中 除 晒 罩 有傾有講 汗水 口水 周圍 飛 點知 自己 或者 對方 係咪 已 感染 但 無 病徵 返去 傳染 身邊 既 人 身邊 既 人 又 再 傳染 俾 其他人",1,16,6,0.375,1
"98","Q187","保護率梗係唔係咁計啦！柒都唔緊要，連上網搵料都唔識，就註定一世都要柒註定柒足一世的人重要話人水皮.........真係沒臉沒皮，侮辱中華民族！","保護 率 梗 係唔係 咁計 啦 柒 都 唔緊要 連 上網 搵料 都 唔識 就 註定 一世 都要 柒 註定 柒 足 一世 的 人 重要 話人 水皮 真係 沒臉沒皮 侮辱 中華民族",1,15,7,0.466666666666667,1
"99","Q188","祝 三萬thx，林奠班狗官同一眾奶共議員你地逢病必中，百病纏身，長命百歲","祝 三萬 林奠 班 狗官 同 一眾 奶共 議員 你地 逢 病 必中 百病 纏身 長命百歲",1,21,8,0.380952380952381,1
"100","Q189","呢個idea 幾好 ！用貼紙啦 其實港鐵連保障乘客安全最基本既野都做唔到點解我地仲要理佢啲濕鳩rules","呢個 幾好 用 貼紙 啦 其實 港鐵 連 保障 乘客 安全 最基本 既野 都 做唔到 點解 我地 仲要 理佢 啲 濕鳩",1,20,7,0.35,1
"101","Q19","呢條杏＋橙果然夠無恥！自己講明著草唔會返工，但又要照出糧，當納稅人係水魚？:","呢條 杏 橙 果然 夠無恥 自己 講明 著草 唔會 返工 但 又要 照 出糧 當 納稅人 係 水魚",1,14,7,0.5,1
"102","Q190","來來去去都係嗰三幅皮，佢個議員位真係筍工，係廢青夢寐以求嘅職位！一係未開會先嘈，一係一開會就嘈，一係一開會就失聲，爽死！絕世好工，點捨得放？ 睇下，長毛搞一搞，啲廢青又打咗針，幾high!!!","來來去去 都係 嗰 三 幅 皮 佢個 議員 位 真係 筍工 係 廢青 夢寐以求 嘅 職位 一 係未 開會 先 嘈 一係 一 開會 就 嘈 一係 一 開會 就 失聲 爽死 絕世 好工 點 捨得 放 睇下 長毛 搞 一 搞 啲 廢青 又 打咗針 幾",1,16,11,0.6875,1
"103","Q191","犯民戴妖嗰頭響台灣叫香港可以獨立，返港又話反對港獨，同姦民響出面話可以強姦呢個靚女，但返到屋企就話反對強姦⋯⋯思想有何分別呢:lDD_008::lDD_004::","犯民 戴妖 嗰頭 響 台灣 叫 香港 可以 獨立 返港 又話 反對 港獨 同 姦 民 響 出 面話 可以 強姦 呢個 靚女 但 返到屋企 就話 反對 強姦 思想 有何 分別 呢",1,24,14,0.583333333333333,1
"104","Q192","江永祥，警察公共關係科高級警司高級警司都答成咁，係咁ererer，問題係佢重要係公共關係科","江 永祥 警察 公共 關係 科 高級 警司 高級 警司 都 答 成 咁 係咁 問題 係 佢 重要 係 公共 關係 科",0,12,3,0.25,0
"105","Q193","半年黎大把依d風向5毛狗最鐘意凌晨開Po 帶朝早風向不過今次玩勇武 有D難搞","半年 黎 大把 依 風向 狗 最鐘意 凌晨 開 帶 朝早 風向 不過 今次 玩 勇武 有 難搞",1,14,9,0.642857142857143,1
"106","Q194","關事，集體腦殘嘅恐怖同威力，你响愚港都見唔少啦，佢哋想將227事件嘅所有人打成廢青港獨，於是去咗扒邱晨撐佔中支持港獨，以為咁樣可以連結到，點知而家微博詞條係肖戰連邱晨，笑爆嘴:","關 事 集體 腦殘 嘅 恐怖 同 威力 你 响 愚港 都 見唔少 啦 佢哋 想將 事件 嘅 所有人 打成 廢青 港獨 於是 去咗 扒 邱 晨 撐 佔中 支持 港獨 以為 咁樣 可以 連結 到 點知 而家 微博 詞條 係 肖 戰 連 邱 晨 笑爆嘴",1,13,8,0.615384615384615,1
"107","Q195","元朗站個指揮官係味食屎大嫁！1）叫港鐵停經元朗站2）咁多個出口設路障3）出一個拉一個，你勁味唔好出黎囉班死廢青唔嚇到頼屎咩！冇智慧做咩撚指揮官呀，好忟呀！支持警察！嚴正執法！:","元朗站 個 指揮官 係 味 食屎大 嫁 叫 港鐵 停 經 元朗站 咁 多個 出口 設 路障 出 一個 拉 一個 你 勁 味 唔好 出黎 囉 班 死廢青 唔 嚇到 頼 屎 咩 冇 智慧 做咩 撚 指揮官 呀 好 忟 呀 支持 警察 嚴正 執法",1,18,14,0.777777777777778,1
"108","Q196","咁多個非權貴派議員 一個都唔JR 一個都唔申請禁制令 要郭伯出手 咩鬼事","咁 多個 非 權貴 派 議員 一個 都 唔 一個 都 唔申請 禁制令 要 郭 伯 出手 咩 鬼事",0,17,5,0.294117647058824,0
"109","Q197","業主都未撚出聲被人破壞關你班警犬閪事我鍾意開間鋪畀人打爛嘢你吹脹呀？","業主 都未 撚 出聲 被 人 破壞 關 你班 警犬 閪 事 我 鍾意 開間 鋪 畀人 打 爛嘢 你 吹脹 呀",1,22,12,0.545454545454545,1
"110","Q198","其實啲廢青有咩好望，望撚嚟都嘥氣。上次放工我搭地鐵有個四十幾歲嘅傻佬同朋友傾計，突講咗黑警兩個字，我就由上車到落車一路望住佢。佢可能知道我望住佢，佢全程低頭唔敢抬起頭望下周圍","其實 啲 廢青 有咩 好 望 望 撚 嚟 都 嘥氣 上次 放工 我 搭地鐵 有個 四 十幾 歲 嘅 傻佬 同 朋友 傾計 突 講咗 黑警 兩個 字 我 就由 上車 到 落車 一路 望住 佢 佢 可能 知道 我 望住 佢 佢 全程 低頭 唔敢 抬起頭 望下 周圍",1,13,5,0.384615384615385,1
"111","Q199","你請KEEP住MON呢個POST。樓主一有需要就搵你出黎落口供。一定要咬實","你 請 呢 個post 樓主 一 有需要 就 搵你 出黎 落口供 一定 要 咬實",0,15,7,0.466666666666667,0
"112","Q2","咪就係。。係咪黑警扮其實都唔難分辨有D的確係但有D又係真係前線","咪 就係 係咪 黑警 扮 其實 都 唔難 分辨 有 的 確係 但有 又係 真係 前線",1,14,4,0.285714285714286,1
"113","Q20","隻賤畜黃屍郭榮鏗呢2 日做咩縮鳩埋唔出嚟繼續亂吠呀 淆晒底喇 不過都冇用 等阿爺清算全方位封殺你全族人 過定去同鬼佬奶屎眼食狗糧都得喇","隻 賤畜 黃屍 郭榮鏗 呢 日 做咩 縮 鳩 埋 唔出嚟 繼續 亂吠 呀 淆 晒 底 喇 不過 都 冇用 等 阿爺 清算 全方位 封 殺你 全 族人 過 定 去 同 鬼佬 奶 屎眼 食 狗糧 都 得喇",1,15,11,0.733333333333333,1
"114","Q200","動L集團被賓周判搞到雞毛鴨血損失億億聲，髮撚只判賓周判不痛不癢三百幻！朝中有人好辦事都會發生於今時今日嘅鄉講！","動 集團 被 賓周 判 搞到 雞毛 鴨血 損 失億 億 聲 髮 撚 只 判 賓周 判 不痛 不 癢 三百 幻 朝 中 有人 好 辦事 都會 發 生於 今時今日 嘅 鄉 講",1,18,9,0.5,1
"115","Q201","班仆街自身想 冇人讀 冇收入 不去指責曱甴 反而寫編咁嘅文章有鳩用咩:chcz_15:","班仆街 自身 想 冇人 讀 冇 收入 不去 指責 曱甴 反而 寫 編 咁嘅 文章 有鳩用 咩",1,17,11,0.647058823529412,1
"116","Q202",":不過真心，班居民無腦，以為行下就可以表達訴求，過去半個月仲表達唔夠? 引埋班非居民既黑色暴徒來搞自己區好好玩咩","不過 真心 班 居民 無腦 以為 行下 就 可以 表達 訴求 過去 半個月 仲 表達 唔夠 引 埋班 非 居民 既 黑色 暴徒 來 搞 自己區 好好 玩咩",1,15,11,0.733333333333333,1
"117","Q203","國務院之前有個發言人，話covid-19 係第19代了??，仲鬧點解唔係covid-1就做野。國務院有時講野已經可以當笑話聽。","國務院 之前 有個 發言人 話 係 第 代 了 仲 鬧 點解 唔係 就 做野 國務院 有時 講野 已經 可以 當 笑話 聽",0,13,4,0.307692307692308,0
"118","Q204","曾俊華淨係識遊花園,林太都忍唔住叫佢直接回答啦,仲要繼續遊,吊,得一兩分鐘就直接D啦","曾俊華 淨係 識 遊花園 林太 都 忍唔住 叫佢 直接 回答 啦 仲要 繼續 遊 吊 得 一 兩 分鐘 就 直接 啦",0,17,8,0.470588235294118,1
"119","Q205","蝗滋瘋條柒頭甘多仇口，點知佢係咪溝人條女，標自己兄弟松柴，起啲世叔伯尾注呀？！","蝗 滋 瘋 條 柒頭 甘多 仇口 點知 佢 係咪 溝 人 條女 標 自己 兄弟 松柴 起啲 世叔伯 尾注 呀",1,19,13,0.684210526315789,1
"120","Q206","人哋唔鍾意同黃狗店一樣，賺少少就打晒飛機咁！因為平時都係咁賺，就唔會1、2日有利潤就吹到大一大。同埋1億唔係袋晒落袋架，黃狗店舖頭仔，要交大大份租俾藍絲包租公架！on9仔:","人哋 唔鍾意 同 黃狗 店 一樣 賺 少少 就 打晒 飛機 咁 因為 平時 都係咁 賺 就 唔會 日 有 利潤 就 吹到 大 一 大 同埋 唔係 袋晒 落袋 架 黃狗 店 舖頭仔 要 交 大大 份 租 俾 藍絲 包租公 架",1,12,4,0.333333333333333,1
"121","Q207","XXXX正如YYYY呢個立論本身就有問題啦, 就算Y係事實, 點證明到X都係真確, 兩者有咩因果關係呢啲垃圾文呃藍絲就得","正如 呢個 立論 本身 就 有問題 啦 就算 係 事實 點 證明 到 都係 真確 兩 者 有咩 因果 關係 呢啲 垃圾文 呃 藍絲 就得",0,16,5,0.3125,0
"122","Q208","點解你地班港毒廢青老豆solomon yue屙篤尿都要share上嚟","點解 你地 班 港毒 廢青 老豆 屙篤尿 都要 上嚟",1,16,10,0.625,1
"123","Q209","事實上, 基於歷史原因, 香港對大陸移民, 已經可以算係全世界最嚴厲的國家,實在不宜太過份.","事實上 基於 歷史 原因 香港 對 大陸 移民 已經 可以 算係 全世界 最嚴厲 的 國家 實在 不宜 太過份",0,16,2,0.125,0
"124","Q21","而家阿豬阿狗以為讀完個垃圾學位就係大學生。。。抗議啲大學開埋啲濕9課程養埋啲廢柴大學生。強烈取消教育大學和社工呢啲濕九學位。","而家 阿豬阿狗 以為 讀完 個 垃圾 學位 就係 大學生 抗議 啲 大學 開埋 啲 濕9 課程 養埋 啲 廢柴 大學生 強烈 取消 教育大學 和 社工 呢啲 濕九 學位",1,14,8,0.571428571428571,1
"125","Q210","故事講閃婚既個女主角個老豆係監犯逃獄出黎有一part係講男女家比人拉晒返差館既另找一套 都係喜劇講一夜夫妻攪大左個女主角係新聞主播，男主角成撚日食大麻既","故事 講 閃婚 既 個 女主角 個 老豆 係 監犯 逃獄 出黎 有 一 係 講 男女家 比人 拉晒 返 差館 既 另 找 一套 都係 喜劇 講 一夜 夫妻 攪 大左 個 女主角 係 新聞主播 男主角 成撚日 食大麻 既",1,15,9,0.6,1
"126","Q211","你地有人支持就做，不割，但唔好割只支持五大訴求的淺黃，屌自己人即當熱狗處理。","你地 有人 支持 就 做 不 割 但 唔好 割 只 支持 五大訴求 的 淺 黃 屌 自己人 即 當 熱狗 處理",1,16,5,0.3125,1
"127","Q212","校方有責任妥善管理校園，你因為政治立場而撕咗我啲壁報就唔係表達政治訴求咩","校方 有責任 妥善 管理 校園 你 因為 政治立場 而 撕 咗 我 啲 壁 報 就 唔係 表達 政治 訴求 咩",0,15,0,0,0
"128","Q213","襲警者註定死於非命, 祖宗十八代永不超生, 一世淪為永遠都唔見得光既自卑蒙面者, 龜縮於本土地下井底蛙的垃圾槽內沾沾自喜, 可悲;P :lol","襲警 者 註定 死於非命 祖宗 十 八 代 永不超生 一世 淪為 永遠 都 唔見得光 既 自卑 蒙面 者 龜縮 於 本土 地下 井底蛙 的 垃圾槽 內 沾沾自喜 可悲",0,15,12,0.8,0
"129","Q214",": 其實 差人福利極好 OT起碼有錢袋 好多行OT是沒錢收 但藍屍講到好似差人好偉大 好好笑羅不過希望佢沒事 畢竟有報應都應該是689","其實 差人 福利 極 好 起碼 有 錢袋 好 多行 是 沒錢 收 但 藍屍 講到 好似 差人 好偉大 好好笑 羅 不過 希望 佢 沒事 畢竟 有報應 都 應 該是",1,16,8,0.5,1
"130","Q215","樓主快啲出錢投公投分裂中國啦，我會去投票反對票，以支持樓主嘅付出！搞個公投只係幾千萬，樓主為咗民主，應該唔介意問人借嘅","樓主 快啲 出錢 投 公投 分裂 中國 啦 我 會 去 投票 反對票 以 支持 樓主 嘅 付出 搞個 公投 只係 幾 千萬 樓主 為咗 民主 應該 唔介意 問人 借 嘅",0,14,6,0.428571428571429,0
"131","Q216","一早提名, 就決不回頭, 捧了林鄭上位, 提名的也有著數仇泛民是建制選委方針薯片與泛民走得近, 根本零機會","一早 提名 就 決不 回頭 捧 了 林鄭 上位 提名 的 也 有著數 仇 泛民 是 建制 選委 方針 薯片 與 泛民 走得 近 根本 零 機會",0,16,3,0.1875,0
"132","Q217","呢d衰野佢地做完係唔會提，就算提都會洗白，話個老人家衰先，得罪黃屍死全家。","呢 衰野 佢地 做完 係 唔會 提 就算 提 都會 洗白 話 個 老人家 衰 先 得罪 黃屍 死全家",1,18,11,0.611111111111111,1
"133","Q218","係個天唔滿意佢地搞極都係講多個做, 所以用d 冰雹去催佢地加快腳步.","係 個 天 唔滿意 佢地 搞 極 都係 講 多個 做 所以 用 冰雹 去 催 佢地 加快 腳步",0,18,9,0.5,0
"134","Q219","一討論區ｄ大６９毛畜死全家好大機會用一個低能account意圖同對方挑起罵戰攬炒，呢類方式係低級大６９毛畜慣技。;P","一 討論區 大 毛 畜 死全家 好大機會 用 一個 低能 意圖 同 對方 挑起罵戰 攬炒 呢類 方式 係 低級 大 毛 畜 慣技",1,20,14,0.7,1
"135","Q22","你咁撚好搵做咩on9想你班要食遊客水既死好撚耐有民主既一定要係每個關口收出入境稅，每次五百，乜撚野水貨客黑工，立即無哂","你 咁撚 好 搵 做咩 想 你班 要 食 遊客 水 既 死 好撚耐 有民主 既 一定 要 係 每個 關口 收 出 入境稅 每次 五 百 乜撚野 水貨客 黑工 立即 無哂",1,18,11,0.611111111111111,1
"136","Q220","同佢講 發現佢係完全理解唔到之後慢慢發現我地同支那人真係完全兩類人佢地係見到人地好過佢 就會好嬲果種姐係見到人死會好開心咁","同 佢講 發現 佢係 完全 理解 唔到 之後 慢慢 發現 我地 同 支那人 真係 完全 兩 類 人 佢地 係 見到 人地 好過佢 就會 好嬲 果種 姐係 見到 人 死 會 好開心 咁",1,18,7,0.388888888888889,1
"137","Q221","《蘋果日報》本身係左膠底隱性左膠DNA, 係忍唔住既時候, 就會發作平時點扮、點掩飾都無用","蘋果日報 本身 係 左膠 底 隱性 左膠 係 忍唔住 既 時候 就會 發作 平時 點 扮 點 掩飾 都 無用",1,17,4,0.235294117647059,1
"138","Q222","民主美國掛住玩批鬥, 窮困於口罩, 迫於無奈先要做呢D咩我地被曱甴形的獨裁香港, 個個口罩充足, 又防疫得好, 當然唔洗咁狼狽不堪要自製啦;P","民主 美國 掛住玩 批鬥 窮 困於 口罩 迫於無奈 先 要做 呢 咩 我地 被 曱甴 形 的 獨裁 香港 個個 口罩 充足 又 防疫 得 好 當然 唔 洗咁 狼狽不堪 要 自製 啦",1,18,10,0.555555555555556,1
"139","Q223","自從97回龜後，香港已經一步步被假共慘同埋假共慘國自戀人摧毀。力場之說，都係回龜後出現","自從 回 龜 後 香港 已經 一步步 被 假 共慘 同埋 假 共慘 國 自 戀人 摧毀 力 場 之說 都係 回 龜 後 出現",1,20,8,0.4,1
"140","Q224","成篇重點就係打定針聽日有人死都係示威者扮黑警殺人屌你老母on99","成 篇 重點 就係 打 定 針 聽日 有人 死 都係 示威者 扮 黑警 殺人 屌你老母",1,18,10,0.555555555555556,1
"141","Q225","其實唔駛咁敏感，每次遊行集會都有被捕架，無被捕既話警犬唔批有係一回事大家忽視咪得","其實 唔駛 咁敏感 每次 遊行 集會 都有 被捕 架 無 被捕 既話 警犬 唔批 有 係 一回事 大家 忽視 咪得",1,14,5,0.357142857142857,1
"142","Q226","咪答左喎!當日網上咁多人見到直播打人, 無人報警先係奇!而且, 警察已經到場(不過笠水走左去), 根本唔關多人打999事!","咪 答左 喎 當日 網 上咁多 人 見到 直播 打人 無人 報警 先係 奇 而且 警察 已經 到場 不過 笠水 走左 去 根本 唔關 多人 打 事",0,21,5,0.238095238095238,0
"143","Q227","我認同呀，食人血饅頭，家長捐俾手足嘅錢又據為己有，又當同路人、手足係義工，真心仲賤過藍店","我 認同 呀 食 人血 饅頭 家長 捐俾 手足 嘅 錢 又 據為己有 又 當 同路人 手足 係 義工 真心 仲 賤過 藍 店",1,18,10,0.555555555555556,1
"144","Q228","鑒於近日有無辜香港市民慘遭黑勢力人仕襲擊，現懇切呼籲各香港市民不論男女，請慎防本地非法操縱妓女賣淫集團，保障自身安全，萬事小心，","鑒於 近日 有 無辜 香港 市民 慘遭 黑勢力 人仕 襲擊 現 懇切 呼籲 各 香港 市民 不論 男女 請 慎防 本地 非法 操縱 妓女 賣淫 集團 保障 自身 安全 萬事 小心",0,18,2,0.111111111111111,0
"145","Q229","喺維園等入中央草坪等咗三個幾鐘都繼續等黑狗一句就話終止 食屎啦","喺 維園 等入 中央 草坪 等咗 三 個幾鐘 都 繼續 等 黑狗 一句 就話 終止 食屎 啦",1,16,9,0.5625,1
"146","Q23","推 五大訴求 缺一不可 自衛反擊 香港人 反抗 撤回已不是重點 解散警隊 追究刑責 勿忘721 85 811 831警黑勾結 無差別恐襲 10月1港殤","推 五大訴求 缺一不可 自衛 反擊 香港人 反抗 撤回 已不是 重點 解散 警隊 追究 刑責 勿忘 警 黑 勾結 無 差別 恐襲 月 港 殤",0,17,7,0.411764705882353,0
"147","Q230","罪有應得，冇腦鳩衝係要付出代價嘅，可惜其他死曱甴未知驚，仍然視法律如無物，班仆街政棍/泛民/暴民仲繼續推波助瀾，係班安鳩仔女先聽佢地支笛","罪有應得 冇腦 鳩衝 係要 付出 代價 嘅 可惜 其他 死 曱甴 未 知驚 仍然 視 法律 如 無物 班仆街 政棍 泛民 暴民 仲 繼續 推波助瀾 係 班 安 鳩 仔女 先 聽 佢地 支笛",1,18,12,0.666666666666667,1
"148","Q231","試著說我無野講唔使理會佢講咩唔好比佢氹到唔使認罪我要見律師唔好比佢大到玩白色恐怖?記得黑警 無一個好人唔好中佢計 扮關心你","試 著 說 我 無野 講 唔使 理會 佢 講咩 唔好 比佢 氹到 唔使 認罪 我 要 見 律師 唔好 比佢 大到 玩 白色恐怖 記得 黑警 無 一個 好人 唔 好中 佢 計 扮 關心你",1,18,9,0.5,1
"149","Q232","支持你們攪黃絲。犯民脫港公投。係時候將黃絲犯民分裂出去。搵英國人比個島你地立國。","支持 你們 攪 黃絲 犯民 脫 港 公投 係時候 將 黃絲 犯民 分裂 出去 搵 英國人 比個 島 你地 立國",1,15,7,0.466666666666667,1
"150","Q233","同意，要學印度.美式執法...對於暴民，印度警察會先打三棍，美國警察就送三粒子彈，比死曱甴.廢青。","同意 要學 印度 美式 執法 對於 暴民 印度 警察 會 先 打 三 棍 美國 警察 就 送 三 粒 子彈 比死 曱甴 廢青",1,12,7,0.583333333333333,1
"151","Q234","Public health 呢個speciality 不嬲唔會搵得多你普通GP出嚟都要有客先得㗎你讀完個專科做返普通門診又好似冇乜意思由揀得public health 開始應該都係aim做官","呢個 不嬲 唔會搵 得多 你 普通 出嚟 都 要有 客 先得 <U+35CE> 你 讀完 個 專科 做返 普通 門診 又 好似 冇 乜意思 由 揀 得 開始 應該 都係 做官",0,20,4,0.2,0
"152","Q235","中國不會攻打印度，只是驅逐入侵者，必要時把發兵阻礙行動的印度基地炸到喪失功能。","中國 不會 攻打 印度 只是 驅逐 入侵者 必要 時 把 發 兵 阻礙 行動 的 印度 基地 炸 到 喪失 功能",0,18,6,0.333333333333333,0
"153","Q236","支那共匪，共產而不敢共妻，有名事實，東瀛城邦勇士，貫徹反共鬥爭，寧共前妻都不共產，邪惡中共，音樂壞了，","支那 共匪 共產 而 不敢 共 妻 有名 事實 東瀛 城邦 勇士 貫徹 反共 鬥爭 寧 共 前妻 都 不 共產 邪惡 中共 音樂 壞了",1,16,9,0.5625,1
"154","Q237","狗毛廢青：泛民教導.....除左賣國賣港就只識奶人鞋底，最慘而家人地連鞋底都唔比你奶，如果英果開個條件話跟住50年香港收入都比晒佢地我睇佢地為左自己私利都會應承人","狗 毛 廢青 泛民 教導 除左 賣國 賣港 就 只識 奶 人 鞋底 最慘 而家 人地 連 鞋底 都 唔比你 奶 如果 英 果 開個 條件 話 跟住 年 香港 收入 都比 晒 佢地 我 睇 佢地 為左 自己 私利 都會 應承 人",1,17,10,0.588235294117647,1
"155","Q238","工廠停曬工，比起d乜鳩環保組織推隻北極熊出嚟叫人捐錢有用唔知幾多倍","工廠 停 曬 工 比起 乜鳩 環保 組織 推 隻 北極熊 出 嚟叫人 捐錢 有用 唔知 幾 多倍",1,17,4,0.235294117647059,1
"156","Q239","消防樹大有枯枝。連續個幾月嘅暴徒破壞，無差別襲擊市民，警察。又唔見你班消防，入境處出句聲。未審先判，老屈警黑合作。","消防 樹 大有 枯枝 連 續個 幾 月 嘅 暴徒 破壞 無 差別 襲擊 市民 警察 又 唔見 你班 消防 入境處 出句聲 未 審 先判 老屈 警 黑 合作",1,18,9,0.5,1
"157","Q24","泛民推卸責任，暴徒一開始就參與佔中，衝擊挑釁警方就是他們負責，公民黨員都有份喎","泛民 推卸 責任 暴徒 一開始 就 參與 佔中 衝擊 挑釁 警方 就是 他們 負責 公民 黨員 都 有份 喎",1,16,6,0.375,1
"158","Q240","屌你上面咪有證據囉咩冇人證實到你扮盲啦美國共和黨 : 《香港人權與民主法案》可能會提早表決通過！","屌你 上面 咪 有證據 囉 咩 冇人 證實 到 你 扮 盲 啦 美國 共和黨 香港 人權 與 民主 法案 可能 會 提早 表決 通過 分享 自 討論區",1,19,9,0.473684210526316,1
"159","Q241","我熱愛祖國河山，但也是理智的，大陸北方氣候嚴酷，富庶的南方多山，可用土地不多，美國以平原為主，更有利農牧業，而整個東亞大陸氣候都比同緯度的美國嚴酷，中國稱不上地球上最好的大陸:","我 熱愛 祖國 河山 但 也是 理智 的 大陸 北方 氣候 嚴酷 富庶 的 南方 多 山 可用 土地 不多 美國 以 平原 為主 更 有利 農牧業 而 整個 東亞 大陸 氣候 都比 同 緯度 的 美國 嚴酷 中國 稱 不上 地球上 最好 的 大陸",0,16,3,0.1875,0
"160","Q242","星期五吾係約左佢通渠咩  小心Ｄ膠登仔張Ｄ通渠片放上ＡＶ片區到啊:","星期五 吾係 約 左 佢 通渠 咩 小心 膠登仔 張 通渠 片 放上 片區 到 啊",1,16,10,0.625,1
"161","Q243","洗鳩你救，北角街坊大部份福建人黎，佢地只係比人煽動P牌三毛咪當前線係弱智先得架","洗 鳩 你 救 北角 街坊 大部份 福建 人黎 佢地 只係 比人 煽動 牌 三毛 咪 當 前線 係 弱智 先得 架",1,18,11,0.611111111111111,1
